Age_range,A̱o,Total_Parcial
0-17,2016,685901
0-17,2017,686612
0-17,2018,686201
0-17,2019,684787
0-17,2020,682620
0-17,2021,679982
0-17,2022,676974
0-17,2023,673208
0-17,2024,668873
0-17,2025,664194
18-29,2016,461384
18-29,2017,453082
18-29,2018,445569
18-29,2019,439979
18-29,2020,437027
18-29,2021,434559
18-29,2022,432700
18-29,2023,432185
18-29,2024,432592
18-29,2025,433067
30-49,2016,829382
30-49,2017,838183
30-49,2018,845599
30-49,2019,850006
30-49,2020,850295
30-49,2021,848797
30-49,2022,845484
30-49,2023,840627
30-49,2024,834658
30-49,2025,828168
50-65,2016,475621
50-65,2017,475500
50-65,2018,475849
50-65,2019,477114
50-65,2020,479620
50-65,2021,483392
50-65,2022,488285
50-65,2023,494266
50-65,2024,501204
50-65,2025,508966
66+,2016,606764
66+,2017,610280
66+,2018,614753
66+,2019,620074
66+,2020,626011
66+,2021,632044
66+,2022,638040
66+,2023,643408
66+,2024,648084
66+,2025,652214
